frame_number,timestamp,track_id,class,x1,y1,x2,y2,confidence
9,2025-05-31 14:59:29.960807,6,bus,1667.2026,301.33817,1919.9551,494.9459,0.5287473
9,2025-05-31 14:59:29.961728,12,motorcycle,1629.9633,481.30307,1790.6132,623.21515,0.54733765
9,2025-05-31 14:59:29.962538,10,truck,1263.1946,288.1948,1656.2993,579.57135,0.5570137
10,2025-05-31 14:59:30.419755,1,person,1481.292,433.20523,1607.5684,643.0653,0.72898376
10,2025-05-31 14:59:30.420710,2,motorcycle,268.432,438.18518,629.9957,719.76874,0.66827464
10,2025-05-31 14:59:30.421640,3,motorcycle,925.3328,554.6892,1230.1881,783.0602,0.8062481
10,2025-05-31 14:59:30.422383,4,person,1027.454,400.53958,1190.3508,709.76404,0.77412343
10,2025-05-31 14:59:30.423118,5,person,360.42984,355.99036,538.6118,665.25507,0.5577174
10,2025-05-31 14:59:30.424319,8,motorcycle,1452.8728,514.17395,1618.3986,673.94336,0.71037567
10,2025-05-31 14:59:30.425697,14,motorcycle,0.42889547,486.96906,366.66745,955.5648,0.7867952
10,2025-05-31 14:59:30.426923,12,motorcycle,1633.5022,494.63928,1792.3959,623.72687,0.56434757
10,2025-05-31 14:59:30.427964,7,bus,954.17584,256.0455,1295.9498,514.317,0.6176069
11,2025-05-31 14:59:30.967821,1,person,1489.5215,434.06174,1612.853,641.38605,0.73958266
11,2025-05-31 14:59:30.968919,2,motorcycle,301.85394,472.4782,652.5176,717.6772,0.78174007
11,2025-05-31 14:59:30.969743,3,motorcycle,944.833,552.9623,1245.5448,780.8065,0.8198472
11,2025-05-31 14:59:30.970502,4,person,1043.8633,400.10434,1208.453,722.2888,0.7469018
11,2025-05-31 14:59:30.971266,5,person,390.60205,358.07495,565.14044,654.2854,0.64118207
11,2025-05-31 14:59:30.972152,8,motorcycle,1462.1898,512.2021,1623.9493,672.83215,0.6577146
11,2025-05-31 14:59:30.973273,14,motorcycle,0.49078304,517.86707,415.01993,951.322,0.79812455
11,2025-05-31 14:59:30.974351,18,person,0.0,350.7085,275.67642,848.0471,0.78302354
11,2025-05-31 14:59:30.975071,7,bus,953.3493,257.007,1299.6617,527.4135,0.52043825
12,2025-05-31 14:59:31.431410,1,person,1496.7251,434.25104,1616.864,643.757,0.6768222
12,2025-05-31 14:59:31.432096,2,motorcycle,333.43762,444.2457,676.2226,716.78046,0.63718516
12,2025-05-31 14:59:31.432877,3,motorcycle,963.4998,546.86694,1257.6324,779.2642,0.8626098
12,2025-05-31 14:59:31.433512,4,person,1062.9844,402.7126,1227.26,716.168,0.6363774
12,2025-05-31 14:59:31.434166,5,person,434.33606,356.59094,588.4032,662.22314,0.6704786
12,2025-05-31 14:59:31.434833,8,motorcycle,1472.3813,514.61456,1631.2755,672.4943,0.6331959
12,2025-05-31 14:59:31.435559,14,motorcycle,0.25599253,515.7814,463.6058,952.7525,0.83616793
12,2025-05-31 14:59:31.436408,18,person,15.280074,348.34824,331.0092,849.22943,0.83392555
12,2025-05-31 14:59:31.437151,6,bus,1676.1611,302.4299,1920.0,473.40842,0.514922
12,2025-05-31 14:59:31.438001,10,truck,1279.3976,291.98376,1674.0168,574.506,0.5912295
13,2025-05-31 14:59:31.882168,1,person,1507.1841,434.15375,1623.2968,633.86957,0.63872236
13,2025-05-31 14:59:31.882928,2,motorcycle,378.09146,461.64432,700.16815,713.6807,0.6228632
13,2025-05-31 14:59:31.883800,3,motorcycle,984.7159,550.6363,1271.2406,776.3698,0.8813337
13,2025-05-31 14:59:31.884417,4,person,1077.4517,401.5628,1242.3834,709.6652,0.783936
13,2025-05-31 14:59:31.885021,8,motorcycle,1481.4424,506.92175,1635.8335,671.4657,0.6122214
13,2025-05-31 14:59:31.885701,14,motorcycle,0.0,529.4617,509.32565,970.60925,0.6893867
13,2025-05-31 14:59:31.886349,18,person,64.996056,347.08698,381.51654,850.88477,0.5803329
13,2025-05-31 14:59:31.886871,10,truck,1286.6124,288.7788,1677.3086,575.82935,0.6745163
13,2025-05-31 14:59:31.887379,16,person,1804.1189,454.92044,1868.7018,586.9131,0.5228893
14,2025-05-31 14:59:32.326290,1,person,1515.614,430.47958,1632.533,629.1557,0.6891905
14,2025-05-31 14:59:32.326938,2,motorcycle,416.72107,481.9166,720.9887,709.0506,0.5150483
14,2025-05-31 14:59:32.327610,3,motorcycle,1007.72986,545.94916,1285.1716,770.04285,0.83609235
14,2025-05-31 14:59:32.328289,4,person,1095.4325,399.79123,1260.3645,702.9102,0.7150368
14,2025-05-31 14:59:32.328981,8,motorcycle,1489.6384,505.4437,1645.8759,668.9804,0.64938706
14,2025-05-31 14:59:32.329791,14,motorcycle,0.32363254,518.80585,554.05695,986.8506,0.77059627
14,2025-05-31 14:59:32.330643,18,person,126.52897,354.96548,436.80173,839.09326,0.7733166
14,2025-05-31 14:59:32.331278,10,truck,1287.2837,287.33722,1691.6877,574.94354,0.51734203
14,2025-05-31 14:59:32.332019,5,person,472.5963,367.46875,638.69476,662.11096,0.51577395
15,2025-05-31 14:59:32.848984,1,person,1525.3315,432.89502,1640.3508,630.88367,0.63567585
15,2025-05-31 14:59:32.849961,3,motorcycle,1028.3367,537.4094,1297.598,766.4327,0.7906489
15,2025-05-31 14:59:32.850814,4,person,1112.7181,399.63245,1282.585,705.88196,0.7541416
15,2025-05-31 14:59:32.851682,8,motorcycle,1499.0375,501.99844,1647.6996,665.643,0.6509684
15,2025-05-31 14:59:32.852475,14,motorcycle,1.363303,493.3181,600.55396,985.73315,0.7990854
15,2025-05-31 14:59:32.853248,18,person,170.30188,354.75323,492.13098,829.04034,0.5360329
15,2025-05-31 14:59:32.853849,10,truck,1294.8457,288.81876,1700.3912,573.87946,0.6217504
15,2025-05-31 14:59:32.854495,5,person,492.25262,371.78635,666.6668,661.28534,0.58903486
15,2025-05-31 14:59:32.855223,16,person,1808.4211,449.87717,1874.956,590.0744,0.5193382
16,2025-05-31 14:59:33.315707,1,person,1531.6007,435.18427,1648.8745,631.1557,0.64478934
16,2025-05-31 14:59:33.316737,3,motorcycle,1048.0092,543.955,1307.5522,764.98694,0.80402374
16,2025-05-31 14:59:33.317474,4,person,1126.721,400.26138,1287.0415,711.2583,0.65815043
